sex_resp.response,age_resp.text,key_resp.keys,key_resp.rt,GSI_slider.response,GSI_slider.rt,GSI_question_loop.thisRepN,GSI_question_loop.thisTrialN,GSI_question_loop.thisN,GSI_question_loop.thisIndex,GSI_question_loop.ran,scale,questions_english,questions_german,labeller,labels_marks,participant,EXPRA code (only for EXPRA students),date,expName,psychopyVersion,OS,frameRate,play_exit.keys,play_exit.rt,ratings_slider.response,ratings_slider.rt,ratings_slider.history,ratings_loop.thisRepN,ratings_loop.thisTrialN,ratings_loop.thisN,ratings_loop.thisIndex,ratings_loop.ran,questions,open_text_response.text,open_text_loop.thisRepN,open_text_loop.thisTrialN,open_text_loop.thisN,open_text_loop.thisIndex,open_text_loop.ran,genre_trials.thisRepN,genre_trials.thisTrialN,genre_trials.thisN,genre_trials.thisIndex,genre_trials.ran,genre_trials.order,prime_text,auditory_stim,condition,genre,order,probe,eval_slider.response,eval_slider.rt,eval_key.keys,eval_key.rt,final_eval_loop.thisRepN,final_eval_loop.thisTrialN,final_eval_loop.thisN,final_eval_loop.thisIndex,final_eval_loop.ran,knew_slider.response,knew_slider.rt,knew_key.keys,knew_key.rt,genre_block.thisRepN,genre_block.thisTrialN,genre_block.thisN,genre_block.thisIndex,genre_block.ran
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",sdf asdf a,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",asd asdf as,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,0,1,1,1,1,2,"Die Cockroaches haben sich als Jugendliche auf der Schule kennengelernt. Aufgrund einer gemeinsame Liebe zu den Beatles entstand die Idee eine Coverband zu gründen.
1991 trat die Band auf dem Tribute to the Beatles Konzert in Amsterdam auf und veröffentlichten im gleichen Jahr eine CD. Weitere Erfolge in ihrer Karriere als Coverband blieben jedoch aus. Auch wenn sie einige Ähnlichkeiten im Stil zu den Beatles aufweisen konnten, wurden sie in Kritiken überwiegend als amateurhaft beschrieben.
Die Band berichtete, dass ihre Jahre im Show-Business nicht einfach waren. Die berufliche Unsicherheit, fehlende Unterstützung ihrer Familien und vor allem der ausbleibende Erfolg waren psychisch sehr belastend, weswegen sie sich nach 3 Jahren einig waren, die Band aufzulösen. Heutzutage verdienen die Mitglieder der Cockroaches ihren Lebensunterhalt als Elektroniker, Koch, Bauarbeiter und Personal Trainer.

Quelle: http://www.overdose.am/bloghome/music/cockroaches-tribute-opening-show-html?",beatles.wav,low,rock,2,GYWLNPHM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,space,0.811,4,1.0613,"[{""rating"":4,""responseTime"":1.0612999999523254}]",0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,5,0.4356,"[{""rating"":5,""responseTime"":0.4350000000000023},{""rating"":5,""responseTime"":0.4356000000238396}]",0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,2,0.7638,"[{""rating"":2,""responseTime"":0.7632999999523236},{""rating"":2,""responseTime"":0.7637999999523117}]",0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,3,0.5145,"[{""rating"":3,""responseTime"":0.5139999999999816},{""rating"":3,""responseTime"":0.5144999999999982}]",0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",sdfas dfs ,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",asdfas fasd ,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,0,2,2,2,1,2,"Die Fab Four sind eine der bekanntesten Beatles Tribute Bands der Welt. Sie sind bereits unter anderem in Japan, Malaysia, Frankreich, Deutschland, den USA und Australien aufgetreten.
Die Band zeichnet sich durch ihre Liebe zum Detail aus. Sie verkörpern die Beatles in ihrem Verhalten, ihrer Sprechweise, ihrem Äußerem und vor allem in ihrem musikalischen Stil. Um authentisch zu wirken verzichtet die Band in jeglicher Form auf Lipsync und Ardy Sarraf, der eigentlich Rechtshänder ist, hat sich sogar antrainiert den Bass, wie Paul McCartney, mit links zu spielen.  
Die Leidenschaft der Gruppe hat sich ausgezahlt, so waren sie schon bei großen TV-Shows wie der Ellen Show oder Good Morning America zu Gast. Seit ihrer Gründung 1997 waren sie bereits viermal Headliner für die International Beatlesweek Liverpool und 2013 gewannen sie sogar einen Emmy Award für ihr PBS Special „The Fab Four: The Ultimate Tribute“.

Quelle: https://www.thefabfour.com/",beatles.wav,high,rock,2,LXZNFMHY,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,Wie sehr gefiel Ihnen das erste Lied im Vergleich zu den anderen?,,,,,,,,,,,,,,,,,,,84.48494615,2.5662,space,2.5233,0,0,0,0,1,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,Wie sehr gefiel Ihnen das zweite Lied im Vergleich zu den anderen?,,,,,,,,,,,,,,,,,,,19.75612174,1.6011,space,0.4994,0,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,Wie sehr gefiel Ihnen das dritte Lied im Vergleich zu den anderen?,,,,,,,,,,,,,,,,,,,45.86989796,0.8624,space,0.686,0,2,2,2,1,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.964,space,0.3837,1,0,1,0,1
